AOP Goals until 31-Dec,Theme,Epic/Category,Summary,Status,PM,EM,Planned month of Release,Revised month of Release,Revised Quarter,Reason for Non Completion,Is Demo Required /Completed,Roadmap ID
Global Launch,Strategic expansion,CCC - Global setup,"For KSA and Malaysia
GL recon infra & GL recon enablement",Done,Aishwarya Viswanathan,Manish Tripathi,Jul'25,1-Jul-2025,Jul - Q2,,,
Global Launch,Strategic expansion,CCC - Global setup,"For KSA and Malaysia
One integration & GL schema setup
UX changes for supporting Global requirements",Done,Aishwarya Viswanathan,Manish Tripathi,Jul'25,1-Jul-2025,Jul - Q2,,,
Make the tax ops engine 'utility grade',Usage to Success,Clause 44,Purchase Invoice GL and GRN GL linkage for the purpose of Expense GL Recon,Done,Aishwarya Viswanathan,Manish Tripathi,Jul'25,1-Oct-2025,Oct - Q3,,,
Make the tax ops engine 'utility grade',Usage to Success,Clause 44,Leverage GL data and expense recon to build Clause 44 report on product - EA,Done,Abhay Goyal,Lavish Agrawal,Sept'25,1-Oct-2025,Oct - Q3,,,
Make the tax ops engine 'utility grade',Usage to Success,Clause 44,"UX changes
- Expense TB view
- Recon sub-buckets
- Report Persistence",In Progress,Abhay Goyal,Lavish Agrawal,Jan'26,,Jan - Q4,,Yes,
Make the tax ops engine 'utility grade',Usage to Success,GL Recon,GL Recon stability - Setting up test data and perf env to perform load testing,Done,Aishwarya Viswanathan,Rakesh Kakarlaparthi,Jul'25,1-Jul-2025,Jul - Q2,,,
Make the tax ops engine 'utility grade',Usage to Success,GL Recon,Support for GSTIN-level GL Recons,To Do,Abhay Goyal,Rakesh Kakarlaparthi,Nov'25,1-Feb-2026,Feb - Q4,Limited capacity and GST recon items had to be solved on priority by the team here,,
Make the tax ops engine 'utility grade',Usage to Success,GL Recon,Persist the last reconciliation results for each PAN/GSTIN entity,In Progress,Abhay Goyal,Rakesh Kakarlaparthi,Nov'25,1-Feb-2026,Feb - Q4,Limited capacity and GST recon items had to be solved on priority by the team here,Yes,
Make the tax ops engine 'utility grade',Usage to Success,GL Recon,Upgrading S4 config to include ACDOCA fetch,Problem Solving,Abhay Goyal,Shriram Bhat,,1-Feb-2026,Feb - Q4,,,
Make the tax ops engine 'utility grade',GA enablement,GL Recon,Unit testing for GL recon GA,At Risk,Abhay Goyal,Rakesh Kakarlaparthi,Aug'25,1-Apr-2026,FY27,,,
Make the tax ops engine 'utility grade',Usage to Success,GL Recon,Enabling remarks on GL recon,Deferred,Abhay Goyal,Rakesh Kakarlaparthi,,,,,,
Make the tax ops engine 'utility grade',GA enablement,GL Transformation,GL via UI Data Transformation via UI - GA : 5 build with CCC customers,Done,Aishwarya Viswanathan,Manish Tripathi,Aug'25,1-Nov-2025,Nov - Q3,,,
GTM Levers,GTM,GL Transformation,POC enablement : Transformation via UI leveraging AI,Deferred,Aishwarya Viswanathan,Vinay Shashidhar,,,,,,
Global Launch,Tech Debt,Global E-invoice,SFTP Crawler Redesign,Done,Rohit Khan,Manish Tripathi,Sept'25,1-Sep-2025,Sep - Q2,,,
Global Launch,Strategic expansion,Global E-invoice,Data Transformation via SFTP for KSA,Done,Rohit Khan,Manish Tripathi,Aug'25,1-Oct-2025,Oct - Q3,,,
Global Launch,Usage to Success,Global E-invoice,E-Invoice via GL Stream(Addon based) for Malaysia - SAP ECC/S4HANA,Done,Rohit Khan,Manish Tripathi,Sept'25,1-Oct-2025,Oct - Q3,,,
Term Sheet,Additional Revenue,GLS Additional use cases,Term Sheet : 9/9C Automation : T14 and T15,Won't Do,Abhay Goyal,,,,Q4,,,
Term Sheet,Additional Revenue,GLS Additional use cases,"Term Sheet : Something similar to Tally on wheels
IS Reports
Multi-entity consolidation
Cost-centre analysis
Ledger scrutiny",Won't Do,Abhay Goyal,,,,NA,,,
Global Launch,Usage to Success,Global E-invoice,E-Invoice GL Stream DB connector,Done,Rohit Khan,Manish Tripathi,Sept'25,1-Oct-2025,Oct - Q3,,,
