Capability,AOP Goals until 31-Dec,Theme,Stack Rank,QTR,Epic/Category,Summary,Status,"Prod Date
(Projected)",Customer facing Date,PM,EM,Effort (In Person Weeks),Remark,Swaroop Remarks,Priority,Sprint,Story points,PM Owner,Status,Priority,Efforts,Is Demo Needed  or Completed,Roadmap ID
DT,Make the tax ops engine 'utility grade',Usage to Success,1,Q2,Filing,"UI/UX improvements Phase 1
Pending

- Informational banner for Form 16A 
- Deductee Name based Search Filter -  In Sprint 17
- Justification Report -> Excel direct conversion - 
- Challan validation change 


Done
- PAN Verification - Done
- Mandatory fields for 24Q, 26Q, 27Q, 27EQ. - Done except 27EQ
- Challan autotagging while creation - Done
- Some filters while tagging challan - Done, some in Sprint 17
-- Unprotect the zip file for downloading form 16/16A - Done
- Simplify ingestion template for filing - section synonyms - Done
- Auto-fill KYC logic change - DONE
- - Changes to ensure that user files using right FVU version after government update - DONE
- Challan subtotal while tagging
- Autopopulating PRN of last quarter while FVU generation Done",Done,5-Oct-2025,3-Nov-2025,Swastika Nayak,Dheeraj Shukla,3,,"This should be higher up in the stack rank

Also, adding section filters everywhere is also important",P0,Aug 1,,,,,,,
DT,Reduce infra costs,capex,1,,CI enablement in TDS,CI enablement in DT ,Done,5-Sep-2025,4-Oct-2025,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,,
DT,Make the tax ops engine 'utility grade',Usage to Success,2,Q2,26AS Recon,"26AS enhancements 
In scope
- Manual Mapping  
- Name based Fuzzy matching",Done,22-Sep-2025,21-Oct-2025,Aayushi Garg,Dheeraj Shukla,,,Other parts in 26AS -> Why is this a priority,P0,July 2,,,,,,,
DT,Reduce infra costs,capex,2,,Capex,"Cost saving activity, Ingestion movement to activity processor V2(phase 1)",Done,22-Aug-2025,20-Sep-2025,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,,
DT,Make the tax ops engine 'utility grade',Usage to Success,3,,TDS Workbench - Enhancements,"TDS workbench UI/UX improvements for GA
- 5 to 6 UI/UX items
- engg hygiene to be completed ",Done,5-Oct-2025,3-Nov-2025,Vignesh V,Dheeraj Shukla,,,,,,,,,,We need hadsup before GA and clean list of items For estimates. Else we might have spill over and risk on FE efforts,,
DT,Reduce infra costs,capex,3,,Capex,MongoDB Upgrade - Planned,Done,29-Sep-2025,,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,,
DT,Make the tax ops engine 'utility grade',Usage to Success,3,Q4,Filing - Gov changes,Income Tax bill 2025 : Section and Rate changes & others,To Do,31-Mar-2026,,,,,,,,,,,,,,,
DT,Make the tax ops engine 'utility grade',Usage to Success,3,Q4,Filing - KTLO,"Filing KTLO 
- Q4 Filing Govt changes (if any)
- Metrics moving UI/UX improvements
- Customer success mania - accepted feature requests/bugs - create challan via company and other than company filter, justification file -> excel direct conversion

Q4 filing tickets 
Challan FY validation , Adding TDS rate in filing flow, Justification Report Excel download, Company and Non company option for Challan creation, TDS Certificate Generation Improvements",In Progress,30-April-2026,,,,,,,,,,,,,,No,
DT,Make the tax ops engine 'utility grade',Usage to Success,,Q4,26AS Recon,"- Save PAN ID and password
- UI deletion of TRL entries",In Progress,20-Feb-2026,20-Feb-2026,Swastika Nayak,Dheeraj Shukla,,,,,,,,,,,No,
DT,Make the tax ops engine 'utility grade',Usage to Success,4,Q3,TDS Workbench - Enhancements,"Recommended Net-off Enhancements (AI / Non AI Solve)
- Bulk/Consolidated Net-offs - will Go Live Jan 1st week. 
- Best fit net-offs - DONE
- Previous Qtr Net-off (low priority, not for Q4)  
- Recommendations for net-off should consider TDS rate as well  - DONE",In Progress,5-Jan-2026,TBD,Vignesh V,Dheeraj Shukla,,,,P0,Aug 1,,,,,,No,
DT,Reduce infra costs,capex,4,,Capex, Poc for liquibase -- CF - Planned,Deferred,22-Sep-2025,,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,,
DT,GTM Levers,GTM,5,Q2,TDS Rationalisation,"TDS Rationalisation Logic and UX Improvements <placeholder> 
based on customer feedbacks by end of 31 Aug 2025",Done,5-Oct-2025,3-Nov-2025,Vignesh V,Dheeraj Shukla,,,,,,,,,,,,
DT,Reduce infra costs,capex,5,Q4,Capex,"Cost saving activity, Ingestion movement to activity processor V2()(phase 2) - Planned",In Progress,22-Sep-2025,21-Oct-2025,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,No,
DT,GTM Levers,GTM,5,Q2,TDS Rationalisation,"TDS PR preparation via GL stream
- Incl. Linking Expense line to TDS line within same accounting entry",Done,30-Sep-2025,TBD,Vignesh V,Dheeraj Shukla,,,Why isn't htis higher priority?,P0,Aug 1,,,,,,,
DT,Make the tax ops engine 'utility grade',Usage to Success,6,Q4,Filing - Bug Fix,Govt credentials Settings issue fixes and improvements - for RPA improvement tech debt  JIRA https://cleartaxtech.atlassian.net/browse/GSTF-7761,In Progress,12-Mar-2026,,,,,,,,,,,,,,No,
DT,Reduce infra costs,capex,6,,Capex,Handling high volume ingestion/FVU generation/certificate generation -- Backend,Deferred,5-Nov-2025,4-Dec-2025,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,,
DT,Make the tax ops engine 'utility grade',capex,6,Q3,CI/CD enablement in TDS,Unit/Integration test case coverage (part-2) - Target 90%,In Progress,22-Nov-2025,21-Dec-2025,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,No,
DT,Make the tax ops engine 'utility grade',capex,6,,"CD enablement 
Org Wide",POC for Liqibase,Deferred,22-Dec-2025,20-Jan-2026,Dheeraj Shukla,Dheeraj Shukla,,,,,,,,,,,,
DT,Make the tax ops engine 'utility grade',Usage to Success,7,Q3,TDS Workbench - Enhancements,"Custom Template enablement for importing TDS payables data transformed via UI (GL via UI). 
Kalpataru is the first customer here",In Progress,,,,,,,,,,,,,,,Yes,
