cluster_id,cluster_label,product,decision,confidence,reason,best_score,evidence_count,citation_1,citation_2,citation_3,section_1,section_2,section_3,snippet_1,snippet_2,snippet_3
SEM-0003,[IDT] — Ozonetel Call: 919845097174 | UCID: 24068387531106302 | Date: 14/01...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0010,[GL Stream] — In GL Recon - Individual Tax values to be shown,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0020,[IDT] — Ineligible ITC column in 2B vs PR Recon,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0018,[IDT] — Feature Request - Acceptance of TDS/ TCS Credits,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0080,[IDT] — Locking of filed return (transaction level),IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0016,[IDT] — Feature Request - Cash Ledger Report & ITC Credit Ledger Report,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0056,"[IDT] — Feature request - Provide visibility about ""Upload Status"" of docum...",IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0099,[IDT] — Feature Request - Visibility on UI for any processing stuck at GST...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0017,[IDT] — IMS Console - Warning flag,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0025,[IDT] — Warning sign if any doc which is claimed in recon is changed/amende...,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0026,"[IDT] — Require unique remarks of ""Mismatched Fields"" after considering thr...",IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0033,[GL Stream] — Single recon for Revenue GL and Output tax GL,GL Stream,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
SEM-0039,[IDT] — Reconciliation Result dashboard - As per Trent Remark.,IDT,POSSIBLY_SHIPPED,0.3,Documentation corpus unavailable in current environment. PM verification required.,0.0,0,https://docs.cleartax.in/product-help-and-support/clear-finance-cloud/release-notes-clear-finance-cloud,,,,,,,,
