Request ID,Case Number,Created Date,Last Updated,Status,Title,Description,Account ID,Account Name,Account PAN,Account Industry,Customer Type,Customer Segment,Account Category,Turnover,Product,Priority,Severity,Ticket Count,Active Asset Value,Account Active ARR,Asset Currency,Tags,Source File,Case Record Type,JIRA Issue ID,Has JIRA,JIRA URL,Status (JIRA),Status Category (JIRA),Issue Type 1,Issue Type 2,Issue Type 3,Issue Type 4
1059861,1059861,2025-11-24 06:48:47.000,,Pending,Filing status of Quarterly filers,"Implement logic where filing the last month of a quarter automatically marks the first two months as filed (Y); they currently show as ""N.""",0012x00000ASlsxAAD,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,AABCZ1506C,Manufacturing,Large Enterprise,B2B - Enterprise,Super Platinum,5001+ Cr,IDT,P2,,1,,12511575.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1071346,1071346,2026-01-06 08:44:34.000,,Pending,Group ID locking,"We observed scenario where group IDs were deleted for certain number of transactions and team had to rework on the same. We request for locking of group IDs so that once entered by the user, no one is allowed to delete the same. Any user who is willing to add group ID should be allowed but deletion or changing of group ID should be allowed after approval.",0012x00000LA8iIAAT,Trent Hypermarket Private Limited,AACCT9803D,Retail,Large Enterprise,B2B - Enterprise,Super Platinum,2501-5000 Cr,IDT,P2,,1,,14900000.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1074215,1074215,2026-01-14 10:45:51.000,,Pending,"Ozonetel Call: 919845097174 | UCID: 24068387531106302 | Date: 14/01/2026, 4:15 pm | CallType: Inbound","Ozonetel Task ID: 00TNo00000a7zlGMAQ Call Type: Inbound Call Disposition: answered Caller: 919845097174 Call Date: 14/01/2026, 4:15 pm UCID: 24068387531106302",001C5000003SHYtIAO,Brigade Properties Private Limited,AADCB5912E,Real Estate,Large Enterprise,B2B - Enterprise,Bronze,201-500 Cr,IDT,P2,,1,,0.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1059868,1059868,2025-11-24 06:57:14.000,,Pending,GSTR-1A Download,Ability to download filed GSTR-1A data.,0012x00000ASlsxAAD,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,AABCZ1506C,Manufacturing,Large Enterprise,B2B - Enterprise,Super Platinum,5001+ Cr,IDT,P2,,1,,12511575.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1047229,1047229,2025-10-07 12:39:54.000,,Pending,Data upload GSTR 6,Issue while uploading the GSTR 6 Data over the portal,0012x00000ASluhAAD,Zomato Limited,AADCD4946L,Food Processing,Large Enterprise,B2B - Enterprise,Super Platinum,5001+ Cr,IDT,P2,,1,,6300000.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1066276,1066276,2025-12-15 08:48:27.000,,Pending,Restrict action on Time barred Invoice,"Client has raised a feature request to have a flag on which ITC claim duration is exhausted , that means they are time barred invoice.",001C5000003SFXJIA4,Eaton Technologies Private Limited,AABCE4323Q,Engineering and Capital Goods,Large Enterprise,B2B - Enterprise,Bronze,501-1000 Cr,IDT,P2,,1,,1162000.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1047207,1047207,2025-10-07 12:15:59.000,,Pending,B2C supplies,Option to consider B2Cs supplies through Ct template and Govt template at the same time,0012x00000ASluhAAD,Zomato Limited,AADCD4946L,Food Processing,Large Enterprise,B2B - Enterprise,Super Platinum,5001+ Cr,IDT,P2,,1,,6300000.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1060012,1060012,2025-11-24 11:55:35.000,,Pending,Reconciliation of E-way bill should also happen separately with delivery challans,"Client needs a facility to do a reconciliation of EWB with delivery challan. Also, in cases where ITC-04 is applicable, client wants that the same needs to be done with ITC-04 as well as it has delivery challan details.",0012x00000KNoEhAAL,P.M. Electro-Auto Private Limited,AADCP8693G,Auto Components,Large Enterprise,B2B - Enterprise,Platinum,1001-2500 Cr,IDT,P2,,1,,2240000.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1046630,1046630,2025-10-06 07:13:02.000,,Pending,Feature Request - Provide a summary of the Tax values of all the line items processed over the SaaS Platform.,"Feature Request - Provide a summary of the document, taxable and tax values of all the line items processed over the SaaS Platform. Rows processed - Doc. Value | Taxable Value | Tax Values Rows with no error - Doc. Value | Taxable Value | Tax Values Rows with errors - Doc. Value | Taxable Value | Tax Values If i refer the ""View File summary"" under the Import history, we are able to get the summary of the line items which got validated. But they want the information for the error line items as well.",0012x00000ASkSBAA1,SRF LIMITED,AAACS0206P,Textiles,Large Enterprise,B2B - Enterprise,Super Platinum,5001+ Cr,IDT,P2,,1,,10117950.0,,GST 2.0,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
1055521,1055521,2025-11-10 09:23:34.000,,Pending,In GL Recon - Individual Tax values to be shown,"Hi Team, In GL recon, particularly for Output GL vs SR & Revenue vs SR Recon, in the summary page itself we are showing total tax values, but the requirement is to show individual values ie., CGST,SGST & IGST values separately along with total tax. Please check and share us the feasibility",0012x00000ASk76AAD,COROMANDEL INTERNATIONAL LIMITED,AAACC7852K,Chemicals,Large Enterprise,B2B - Enterprise,Super Platinum,5001+ Cr,GL Stream,P2,,1,,23822500.0,,GL_STREAM,report1772101003441.xls,B2B Enterprise,,0,,,,,,,
