Sr No,Tool,Flow,Description,Priority,Status,Comments,Case ID,Entity,Image,"test+glfuzzy@clear.in
Orange@10"
11,GST AI,FY extraction,Financial Year details are there in the PDF but we are not extracting the same from PDF,P0,Not Started,intermittent issue,ZA370925078449Q,37FHGPS0623M1ZX,,
12,GST,Attachments,Unable to upload attachments beyond 5MB size,P0,Done,BE,,,,
13,GST,Sync with GSTN ,Add AI communication modal post sync complete,P0,Not Started,FE,-,-,https://cleartaxtech.slack.com/archives/C03SSRVLHAR/p1759843817521699,
18,GST,Auto Case status update logic,All cases with REG form name should be auto-closed after 30 days of source date,P0,Not Started,BE,-,-,,
18,GST AI,GST AI,"For manual cases, how will AI summary and sync work? Prajit Nandeshwar to come back on the solution",P0,Not Started,FE,-,-,,
18,GST AI,API integration,API integration to trigger emails automatically for new notices ,P0,Not Started,BE,-,-,,
20,GST,Email,Add form name in the due date and new cases email (Trent Ask),P0,Not Started,BE + FE,,,,
1,GST,Sync with GSTN > Connect,User name and password are not persisting. Clicked on Save User ID and password during earlier sync,P1,Not Started,working on QA,,37FHGPS0623M1ZX,,
3,GST,Reply > Upload Documents,Unable to view the last set of docs when > 12 docs are uploaded in the Add Reply flow,P1,Not Started,FE,ZA3706250994045,37FHGPS0623M1ZX,,
4,GST,Add Pre Adjudication case,Added case manually with all details but FY details are not persisting in Edit flow although visible in case details flow,P1,Not Started,FE,PCS726492739,37FHGPS0623M1ZX,,
6,GST,Excel Report,Manually Added last reply details are neither coming in excel report nor on UI,P1,Not Started,BE,ZA370925078449Q,ZA370925078449Q,,
7,GST AI,Form Name Extraction,Form name GSTR-3A extracted as R3A while the filter dropdown is still GSTR-3A,P1,Not Started,BE,ZA370925078449Q,ZA370925078449Q,,
8,TDS(ITR- TAN Login),Files Hub and History,Clear AI tab is wrongly visible here to be removed for non-gst flows,P1,Not Started,FE,53322553,MUMS48651B,,
9,TDS(TRACES),Files Hub and History,Clear AI tab is wrongly visible here to be removed for non-gst flows,P1,Not Started,FE,TDS/1011/26Q/D/100058236608,DELJ05830G,,
10,TDS(TRACES),Communications Actions Required,Overlapping of DIN Reference No and Communication Date on UI,P1,Not Started,FE,TDS/1011/26Q/D/100058236608,DELJ05830G,,
14,GST,PAN level dashboard,Remove the tag 'Powered with Clear Intelligence' on the top right of all pages,P1,Not Started,FE,-,-,,
15,GST AI,PAN level dashboard,"Change the name from 'Clear Intelligence' to ""Clear AI' in tooltips and everywhere possible",P1,Not Started,FE,-,-,,
17,GST ,PAN level dashboard,Fix the case id and Reference id to the left and Reasons and SUmmary to the right and make the rest of the columns scrollable,P1,Not Started,FE,-,-,,
18,GST,Manual case addition,"For audit case, the FY input field should have a multi FY selection",P1,Not Started,FE,-,-,,
2,GST,Reply > Upload Documents,Unable to see description and file limit text on windows machine (100% zoom),P2,Not Started,FE,ZA370925078449Q,37FHGPS0623M1ZX,,
5,GST,Add Post Adjudication case,Overlap and change in position of Applicable Financial year Filter,P2,Not Started,FE,,37FHGPS0623M1ZX,,
16,GST ,PAN level dashboard,"The tags used here are old style, change it to the new ones and alsp add ellipses instead of going into the next line",P2,Not Started,FE,-,-,,
18,GST AI,Case level details,The logos should be next to tthe values instead of the titles like we show in the table,P2,Not Started,FE,-,-,,
18,GST AI,Case level details - Activity hub,"UI upgrade required:
- Corner radius to be added for the 'Clear AI' module
- Keep the size of this module constant across the tabs",P2,Not Started,FE,-,-,,
19,GST,Table,Data browser integration for Notice Tracker table,P2,Not Started,BE,,,,
