rank,cluster_id,cluster_label,product,customer_count,ticket_count_total,jira_ticket_count,account_active_arr_total,open_count,open_ratio,rank_score,priority_label,priority_reasoning,cluster_description,representative_examples,customer_names,request_ids
1,SEM-0003,[IDT] — Ozonetel Call: 919845097174 | UCID: 24068387531106302 | Date: 14/01...,IDT,11,11,0,25759300.0,11,1.0,0.8409,Critical,,"Requirement area: [IDT] General Request. Impact: 11 tickets from 11 customers (Brigade Properties Private Limited, My Car (Pune) Private Limited, HPM CHEMICALS AND FERTILIZERS LIMITED, Supreem Pharmaceuticals Mysore Private Limited, Global Account Old ITR (+6 more)). ARR at risk: ₹25,759,300. Open tickets: 11/11. Key themes from customer descriptions: call, ozonetel, task, type, inbound, disposition, answered, caller. Most representative complaint: ""Ozonetel Task ID: 00TNo00000a7zlGMAQ Call Type: Inbound Call Disposition: answered Caller: 919845097174 Call Date: 14/01/2026, 4:15 pm UCID: 24068387531106302""","Ozonetel Task ID: 00TNo00000a7zlGMAQ Call Type: Inbound Call Disposition: answered Caller: 919845097174 Call Date: 14/01/2026, 4:15 pm UCID: 24068387531106302 | Ozonetel Task ID: 00TNo00000Zsrd6MAB Call Type: Inbound Call Disposition: answered Caller: 918329949362 Call Date: 09/01/2026, 6:29 pm UCID: 24067963564891665 | Ozonetel Task ID: 00TNo00000arPrsMAE Call Type: Inbound Call Disposition: answered Caller: 919958744861 Call Date: 29/01/2026, 2:02 pm UCID: 24069675574739057 | Ozonetel Task ID: 00TNo00000V6N0CMAV Call Type: Inbound Call Disposition: answered Caller: 9686665707 Call Date: 09/10/2025, 3:46 pm UCID: 24060004958913682 | Ozonetel Task ID: 00TNo00000Y3lmwMAB Call Type: Inbound Call Disposition: answered Caller: 918377034920 Call Date: 03/12/2025, 3:27 pm UCID: 24064755851586718",Brigade Properties Private Limited | My Car (Pune) Private Limited | HPM CHEMICALS AND FERTILIZERS LIMITED | Supreem Pharmaceuticals Mysore Private Limited | Global Account Old ITR | ICONIC FACILITY SERVICES PRIVATE LIMITED | CGH Earth | Vivriti Capital | HELLA INDIA AUTOMOTIVE PRIVATE LIMITED | Willowood Chemicals Private Limited | Panacea Biotec Limited,"1074215, 1072757, 1077476, 1047913, 1062813, 1054939, 1073902, 1064510, 1077144, 1081562, 1049280"
2,SEM-0010,[GL Stream] — In GL Recon - Individual Tax values to be shown,GL Stream,2,3,0,70825000.0,3,1.0,0.5318,High,,"Requirement area: [GL Stream] General Request. Impact: 3 tickets from 2 customers (COROMANDEL INTERNATIONAL LIMITED, Trent Limited). ARR at risk: ₹70,825,000. Open tickets: 3/3. Key themes from customer descriptions: values, recon, total, tax, summary, page, cgst, sgst. Most representative complaint: ""Hi Team, In GL recon, particularly for Output GL vs SR & Revenue vs SR Recon, in the summary page itself we are showing total tax values, but the requirement is to show individual values ie., CGST,SGST & IGST values separately along with total tax. Please check and share us the feasibility""","Hi Team, In GL recon, particularly for Output GL vs SR & Revenue vs SR Recon, in the summary page itself we are showing total tax values, but the requirement is to show individual... | Hi Team, In GL recon, particularly for Output GL vs SR & Revenue vs SR Recon, in the summary page itself we are showing total tax values, but the requirement is to show individual... | CGST, SGST and IGST should be separately bifurcated in GL recon summary page",COROMANDEL INTERNATIONAL LIMITED | Trent Limited,"1055521, 1054750, 1079789"
3,SEM-0020,[IDT] — Ineligible ITC column in 2B vs PR Recon,IDT,1,2,0,46360000.0,2,1.0,0.3909,High,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 1 customer (Trent Limited). ARR at risk: ₹46,360,000. Open tickets: 2/2. Key themes from customer descriptions: ineligible, itc, invoice, action, can, taken, multiple, times. Most representative complaint: ""Ineligible ITC action can be taken multiple times on a single invoice Ineligible ITC is allowed ""Ineligible ITC"" and ""claim ITC"" leading to duplicate actions in Table 4.""","Ineligible ITC action can be taken multiple times on a single invoice Ineligible ITC is allowed ""Ineligible ITC"" and ""claim ITC"" leading to duplicate actions in Table 4. | Manual activity to determine actual ineligible/unmatch amount in case of a partially eligible invoice.",Trent Limited,"1077811, 1077812"
4,SEM-0018,[IDT] — Feature Request - Acceptance of TDS/ TCS Credits,IDT,2,2,0,25582500.0,2,1.0,0.3494,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 2 customers (Trent Limited, VINDHYA TELELINKS LIMITED). ARR at risk: ₹25,582,500. Open tickets: 2/2. Key themes from customer descriptions: tcs, can, clear, tds, accepted, check, file, return. Most representative complaint: ""Need to check whether we can file TCS return from Clear Tool with validation. Clear can provide the GSTN wise TCS credit available and accordingly TCS return can be filed for multiple GSTN. Feature request - TDS/ TCS credits accepted on GST portal directly. Upload an excel with TDS credit accepted f...""",Need to check whether we can file TCS return from Clear Tool with validation. Clear can provide the GSTN wise TCS credit available and accordingly TCS return can be filed for multi... | Feature Request - Acceptance of TDS/ TCS Credits. Even the govt portal provides the Offline utility till March 2024. The grievance has been raised by the client bearing number: G-2...,Trent Limited | VINDHYA TELELINKS LIMITED,"1040129, 1074578"
5,SEM-0080,[IDT] — Locking of filed return (transaction level),IDT,1,2,0,29800000.0,2,1.0,0.3325,Medium,,"Requirement area: [IDT] General Request. Impact: 2 tickets from 1 customer (Trent Hypermarket Private Limited). ARR at risk: ₹29,800,000. Open tickets: 2/2. Key themes from customer descriptions: should, filed, document, data, functionality, locking, inward, outward. Most representative complaint: ""Functionality for locking of inward and outward supply invoices after filing of returns for a month. Once the return is filed, anyone should not be able to edit/change the document and re-uploading of the same document should show an error. Even at system level, filed data should be retained as it i...""","Functionality for locking of inward and outward supply invoices after filing of returns for a month. Once the return is filed, anyone should not be able to edit/change the document... | Functionality for locking of inward and outward supply invoices after filing of returns for a month. Once the return is filed, anyone should not be able to edit/change the document...",Trent Hypermarket Private Limited,"1073960, 1071344"
6,SEM-0016,[IDT] — Feature Request - Cash Ledger Report & ITC Credit Ledger Report,IDT,2,3,0,13750000.0,3,1.0,0.3304,Medium,,"Requirement area: [IDT] General Request. Impact: 3 tickets from 2 customers (Zomato Limited, Apl Apollo Tubes Limited). ARR at risk: ₹13,750,000. Open tickets: 3/3. Key themes from customer descriptions: cash, ledger, report, wants, tcs, feature, itc, credit. Most representative complaint: ""The customer wants electronic Cash ledger report for TCS registration in the product""",Feature Request - Cash Ledger Report & ITC Credit Ledger Report. Also to trigger the download at the PAN level | The zomato team wants to generate the TCS challans without utilising the cash balance available in cash ledger | The customer wants electronic Cash ledger report for TCS registration in the product,Zomato Limited | Apl Apollo Tubes Limited,"1078187, 1047238, 1047228"
7,SEM-0056,"[IDT] — Feature request - Provide visibility about ""Upload Status"" of docum...",IDT,1,1,0,24894000.0,1,1.0,0.2924,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (TATA AIG GENERAL INSURANCE CO LTD). ARR at risk: ₹24,894,000. Open tickets: 1/1. Key themes from customer descriptions: documents, uploaded, marked, clear, gstn, all, then, document. Most representative complaint: ""If all the documents are marked as uploaded then no document level detail is uploaded from Clear to GSTN. Please provide visibility in the filing flow about the documents which are marked as uploaded. There are instances where no data is present on GSTN but user marks documents as uploaded on Clear....""",If all the documents are marked as uploaded then no document level detail is uploaded from Clear to GSTN. Please provide visibility in the filing flow about the documents which are...,TATA AIG GENERAL INSURANCE CO LTD,1049601
8,SEM-0099,[IDT] — Feature Request - Visibility on UI for any processing stuck at GST...,IDT,1,1,0,24894000.0,1,1.0,0.2924,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (TATA AIG GENERAL INSURANCE CO LTD). ARR at risk: ₹24,894,000. Open tickets: 1/1. Key themes from customer descriptions: data, upload, response, uploading, status, comes, triggered, gstn. Most representative complaint: """"Uploading"" status comes when data is triggered for upload to GSTN & Clear portal is waiting for govt response. Until the govt response comes we keep showing the status as ""Uploading"". Provide a visibility if data upload has been triggered & Clear portal is awaiting response from GSTN as clients kee...""","""Uploading"" status comes when data is triggered for upload to GSTN & Clear portal is waiting for govt response. Until the govt response comes we keep showing the status as ""Uploadi...",TATA AIG GENERAL INSURANCE CO LTD,1049600
9,SEM-0017,[IDT] — IMS Console - Warning flag,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: ims, flag, ask, warning, itc, claimed, system, should. Most representative complaint: ""Ask : Issue with IMS warning flag. If ITC claimed in 2B vs PR, system should flag if the user tries to keep these transactions under pending status on IMS console""","Ask : Issue with IMS warning flag. If ITC claimed in 2B vs PR, system should flag if the user tries to keep these transactions under pending status on IMS console",Trent Limited,1081933
10,SEM-0025,[IDT] — Warning sign if any doc which is claimed in recon is changed/amende...,IDT,1,1,0,23180000.0,1,1.0,0.2864,Medium,,"Requirement area: [IDT] General Request. Impact: 1 ticket from 1 customer (Trent Limited). ARR at risk: ₹23,180,000. Open tickets: 1/1. Key themes from customer descriptions: documents, should, delete, once, itc, data, overview, changed. Most representative complaint: """"Documents should not changed/delete/amended once ITC Claimed in data overview Ask - Once the """"Claim ITC"""" action is taken, the documents must be freezed. If the user is trying to amend/delete the document in Data Overview or if its getting merged (via integration) he should receive a warning sign""""","""Documents should not changed/delete/amended once ITC Claimed in data overview Ask - Once the """"Claim ITC"""" action is taken, the documents must be freezed. If the user is trying to...",Trent Limited,1077817
