roadmap_item_id,product,hierarchy_level,parent_id,title,description,status,percent_complete,start_date,end_date,target_quarter,owner,stack_rank,prod_date_projected,old_prod_date_projected,customer_facing_date,source_system,source_key,source_file,theme,aop_goal,priority
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-1,DT,Initiative,,Filing,"UI/UX improvements Phase 1 Pending - Informational banner for Form 16A - Deductee Name based Search Filter - In Sprint 17 - Justification Report -> Excel direct conversion - - Challan validation change Done - PAN Verification - Done - Mandatory fields for 24Q, 26Q, 27Q, 27EQ. - Done except 27EQ - Challan autotagging while creation - Done - Some filters while tagging challan - Done, some in Sprint 17 -- Unprotect the zip file for downloading form 16/16A - Done - Simplify ingestion template for filing - section synonyms - Done - Auto-fill KYC logic change - DONE - - Changes to ensure that user files using right FVU version after government update - DONE - Challan subtotal while tagging - Autopopulating PRN of last quarter while FVU generation Done",,0,,,Q2,Swastika Nayak,1,5-Oct-2025,,3-Nov-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-1,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-2,DT,Initiative,,CI enablement in TDS,CI enablement in DT,,0,,,,Dheeraj Shukla,1,5-Sep-2025,,4-Oct-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-2,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-3,DT,Initiative,,26AS Recon,26AS enhancements In scope - Manual Mapping - Name based Fuzzy matching,,0,,,Q2,Aayushi Garg,2,22-Sep-2025,,21-Oct-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-3,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-4,DT,Initiative,,Capex,"Cost saving activity, Ingestion movement to activity processor V2(phase 1)",,0,,,,Dheeraj Shukla,2,22-Aug-2025,,20-Sep-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-4,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-5,DT,Initiative,,TDS Workbench - Enhancements,TDS workbench UI/UX improvements for GA - 5 to 6 UI/UX items - engg hygiene to be completed,,0,,,,Vignesh V,3,5-Oct-2025,,3-Nov-2025,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-5,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-6,DT,Initiative,,Capex,MongoDB Upgrade - Planned,,0,,,,Dheeraj Shukla,3,29-Sep-2025,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-6,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,capex,Reduce infra costs,
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-7,DT,Initiative,,Filing - Gov changes,Income Tax bill 2025 : Section and Rate changes & others,,0,,,Q4,,3,31-Mar-2026,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-7,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-8,DT,Initiative,,Filing - KTLO,"Filing KTLO - Q4 Filing Govt changes (if any) - Metrics moving UI/UX improvements - Customer success mania - accepted feature requests/bugs - create challan via company and other than company filter, justification file -> excel direct conversion Q4 filing tickets Challan FY validation , Adding TDS rate in filing flow, Justification Report Excel download, Company and Non company option for Challan creation, TDS Certificate Generation Improvements",,0,,,Q4,,3,30-April-2026,,,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-8,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-9,DT,Initiative,,26AS Recon,- Save PAN ID and password - UI deletion of TRL entries,,0,,,Q4,Swastika Nayak,,20-Feb-2026,,20-Feb-2026,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-9,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-10,DT,Initiative,,TDS Workbench - Enhancements,"Recommended Net-off Enhancements (AI / Non AI Solve) - Bulk/Consolidated Net-offs - will Go Live Jan 1st week. - Best fit net-offs - DONE - Previous Qtr Net-off (low priority, not for Q4) - Recommendations for net-off should consider TDS rate as well - DONE",,0,,,Q3,Vignesh V,4,5-Jan-2026,,TBD,Roadmap CSV,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1)-10,DT Roadmap FY26 (Q2 & Q3) - Roadmap (1).csv,Usage to Success,Make the tax ops engine 'utility grade',
